COMPOSANTE | COCHÉE → | DÉCOCHÉE → | MÉTHODE ET VERDICT
pied_de_page | apparaît | disparaît | marqueur data-c → OK
orientation_paysage | apparaît | disparaît | classe de rendu → OK
mention_conserver | apparaît | disparaît | marqueur data-c → OK
ecran_seul | apparaît | disparaît | classe de rendu → OK
impression_seule | apparaît | disparaît | classe de rendu → OK

EFFETS D’IMPRESSION (CSS du document, vérifiés dans la charte livrée) :
@media print présent : OK
date d’édition forcée au print (.f-de-forcee display inline!important) : OK
date d’édition : masque écran seulement (@media screen .f-de-ecran-off) : OK
écran seul masqué au print : OK
demi-A4 : 148mm + saut toutes les 2 : OK
saut de page (.f-saut page-break-before) : OK
page A4 : feuille par page (page-break-after) : OK

BILAN : 114 composantes vérifiées OK · 0 en échec · 7 réservées (déclarées) · total 121
